title,IMDBid,year,summary,maturity,type,new to uNoGS,runtime,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22
Capitani,tt10483610,2019,"In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl.",Recommended for ages 16 and up,series,2021/2/12,,TV Dramas,Crime TV Dramas,,,,,,,,,,,,,,,,,,,,
Layla Majnun,,2020,"While in Azerbaijan, Layla, an Indonesian scholar, falls for Samir, an admirer of her work — but her arranged marriage stands in the way.",Recommended for ages 13 and up,movie,2021/2/12,1h59m4s,Romantic Dramas,Dramas,Romantic Movies,Indonesian Movies,,,,,,,,,,,,,,,,,,
The Last Paradiso,,2020,"In 1950s Italy, a passionate free spirit dreams of love, justice and a better life till a forbidden affair threatens everything. Based on real events.",Recommended for ages 16 and up,movie,2021/2/6,1h47m8s,Romantic Dramas,Social Issue Dramas,Dramas,Italian Movies,Romantic Movies,,,,,,,,,,,,,,,,,
Little Big Women,tt12397078,2020,A family grapples with the passing of their estranged father and the remnants of the life he led during his absence.,Recommended for ages 13 and up,movie,2021/2/6,2h3m22s,Chinese Movies,Dramas,Taiwanese Movies,,,,,,,,,,,,,,,,,,,
Doob: No Bed of Roses,tt5513920,2017,"As a noted filmmaker’s infidelity becomes a media firestorm, his fractured family privately navigates the fallout of his actions for years to come.",Parental Guidance suggested,movie,2021/2/5,1h44m15s,Dramas,Independent Films,Indian Films,Bengali-language Films,,,,,,,,,,,,,,,,,,
Black Beach,tt9660688,2020,A lawyer with a promising future is forced to deep dive into his past when he agrees to negotiate with an old friend turned kidnapper.,Recommended for ages 16 and up,movie,2021/2/4,1h55m40s,,,,,,,,,,,,,,,,,,,,,,
"Our Lady of San Juan, Four Centuries of Miracles",,2020,"In this dramatization, the Virgin Mary works a miracle on a girl in 1623 Mexico. Four centuries later, a family make a pilgrimage for their own child.",Recommended for ages 13 and up,movie,2021/2/2,2h2m50s,Dramas,Mexican Movies,,,,,,,,,,,,,,,,,,,,
Fatima,tt2197936,2020,"In 1917 Portugal, visions of the Virgin Mary come to three children whose message of faith raises doubts in their family and angers authorities.",Parental Guidance suggested,movie,2021/2/1,1h52m55s,Dramas,Faith & Spirituality,,,,,,,,,,,,,,,,,,,,
The House Arrest of Us,tt13280838,2020,A couple decides to make their engagement official by honoring tradition when a pandemic forces them and their families to quarantine under one roof.,Recommended for ages 13 and up,series,2021/2/1,,TV Comedies,Romantic TV Comedies,Filipino TV Shows,Family Watch Together TV,,,,,,,,,,,,,,,,,,
Critical Thinking,tt7870102,2020,An unwavering teacher and his students must overcome the perils in their underserved community as they compete in a national chess tournament.,For Mature Audiences. May not be suitable for ages 17 and under.,movie,2021/1/30,1h57m30s,Films Based on Real Life,Dramas,,,,,,,,,,,,,,,,,,,,
Kilometers and Kilometers,tt7268736,2020,"When a debt-ridden man reluctantly agrees to drive an American tourist around India, their stark differences lead to bickering and unexpected bonding.",For Mature Audiences. May not be suitable for ages 17 and under.,movie,2021/1/27,2h7m14s,Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Films,Indian Films,Malayalam-language Films,,,,,,,,,,,,,,,
Flower of Evil,tt0173845,2020,"Hiding a twisted past, a man maintains his facade as the perfect husband to his detective wife — until she begins investigating a series of murders.",Recommended for ages 13 and up,series,2021/1/24,,Mystery Programmes,Drama Programmes,Crime TV Dramas,Korean Programmes,TV Thrillers,,,,,,,,,,,,,,,,,
So My Grandma’s a Lesbian!,,2020,"Two women in their 70s decide to come out to their families and get married, sparking chaos — and threatening a granddaughter's engagement.",Recommended for ages 16 and up,movie,2021/1/23,1h35m2s,Romantic Comedies,LGBTQ Movies,Comedies,Romantic Movies,Spanish,,,,,,,,,,,,,,,,,
Sightless,tt10303430,2020,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.,Recommended for ages 13 and up,movie,2021/1/20,1h29m29s,Psychological Thrillers,Thriller Movies,,,,,,,,,,,,,,,,,,,,
Double Dad,tt11821818,2020,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.",Recommended for ages 7 and up,movie,2021/1/16,1h45m14s,Children & Family Movies,Brazilian Movies,Teen Movies,Dramas,Comedies,Family Features,Family Comedies,,,,,,,,,,,,,,,
Pinkfong & Baby Shark's Space Adventure,tt9854932,2019,"Joined by new friends from other planets, Pinkfong and Baby Shark explore outer space and search for missing star pieces to return home.",Recommended for all audiences,movie,2021/1/15,1h5m1s,Children & Family Movies,Animal Tales,Korean Movies,Kids Music,,,,,,,,,,,,,,,,,,
The Heartbreak Club,,2020,"Coping with heartbreak, the shy owner of a floundering cafe finds solace in the Javanese love songs of Didi Kempot.",Recommended for ages 12 and up,movie,2021/1/15,1h41m25s,Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Movies,Indonesian Movies,,,,,,,,,,,,,,,,
Al acecho,tt0101287,2019,"Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts.",Recommended for ages 16 and up,movie,2021/1/12,1h21m3s,Argentinian Films,Thrillers,,,,,,,,,,,,,,,,,,,,
Is Love Enough? Sir,,2018,"A young widow is hired as the domestic helper for a wealthy architect, but social divides come to the fore as an unlikely attraction grows between them.",Recommended for ages 13 and up,movie,2021/1/9,1h38m52s,Social Issue Dramas,Dramas,Independent Movies,Indian Movies,Hindi-Language Movies,,,,,,,,,,,,,,,,,
Pieces of a Woman,tt11161474,2020,"A heartbreaking home birth leaves a woman grappling with the profound emotional fallout, isolated from her partner and family by a chasm of grief.",Recommended for ages 16 and up,movie,2021/1/8,2h7m40s,Dramas,,,,,,,,,,,,,,,,,,,,,
Tony Parker: The Final Shot,tt13696668,2020,"This film examines the background and career of Tony Parker, whose determination led him to become arguably the greatest French basketball player.",Recommended for ages 13 and up,movie,2021/1/7,1h38m48s,Sports Documentaries,Biographical Documentaries,Sports Movies,Documentary Films,,,,,,,,,,,,,,,,,,
100% Halal,tt11799742,2020,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",Recommended for ages 13 and up,movie,2021/1/7,1h40m52s,Dramas,Indonesian Movies,,,,,,,,,,,,,,,,,,,,
Kingdom,tt6611916,2019,"After his friend dies in service to the king, a war orphan takes up his sword and vows to seek justice by restoring the deposed king to the throne.",Recommended for ages 16 and up,movie,2021/1/6,2h13m55s,Action & Adventure,Military Action & Adventure,Japanese Movies,Period Pieces,,,,,,,,,,,,,,,,,,
VINLAND SAGA,tt10233448,2019,"After his father is killed, young Thorfinn joins the mercenary band of his murderer Askeladd, waiting for his revenge while Askeladd plots politics.",Not recommended for ages 14 and under,series,2021/1/1,,Drama Anime,Action Anime,Anime Series,Historical Anime,Anime Based on Comics,,,,,,,,,,,,,,,,,
Tarung Sarung,tt11749980,2020,"Wealthy and spoiled, a young man finds something to fight for when he falls in love with an environmental activist protesting his family's business.",Recommended for ages 13 and up,movie,2021/1/1,1h55m46s,Action & Adventure,Dramas,Martial Arts Movies,Asian Action Movies,Indonesian Movies,,,,,,,,,,,,,,,,,
Running Man,tt2185037,2020,"Wanting to bring home the ultimate prize, a group of competitors gather for a championship — and discover both friends and enemies as they play!",Recommended for ages 7 and up,series,2021/1/1,,Animal Tales,TV Comedies,TV Cartoons,Kids' TV,Korean TV Shows,,,,,,,,,,,,,,,,,
Full Out 2: You Got This!,tt11247064,2020,"With a championship on the line, Chayse and her gymnastics team look to a local break-dancer for all the right moves to rise above their competition.",Recommended for all audiences,movie,2021/1/1,1h31m16s,Children & Family Movies,Movies Based on Real Life,Sports Movies,Dramas,Sports Dramas,Family Features,,,,,,,,,,,,,,,,
Best of Stand-Up 2020,tt13649688,2020,"From Jerry Seinfeld to Leslie Jones, Kevin Hart to Hannah Gadsby, laugh along with the funniest bits from Netflix's 2020 stand-up comedy specials.",Recommended for ages 16 and up,movie,2021/1/1,1h16m42s,Dark Comedies,Comedies,Stand-Up Comedy,,,,,,,,,,,,,,,,,,,
Alaska Is a Drag,tt2481138,2017,"Tormented by bullies, an aspiring drag star working at an Alaskan cannery becomes a skilled fighter and is tapped for competition by a boxing coach.","Coarse Language, Mature Themes, Violence, Drug Use",movie,2020/12/31,1h23m21s,Dramas,LGBTQ Movies,,,,,,,,,,,,,,,,,,,,
Transformers: War for Cybertron: Earthrise,,2020,"While Megatron takes drastic measures to save the Decepticons, the Autobots fight to save all of Cybertron from both on the planet and aboard the Ark.",Recommended for ages 7 and up,series,2020/12/31,,Action Anime,Anime Series,US TV Shows,Sci-Fi & Fantasy Anime,Family Watch Together TV,,,,,,,,,,,,,,,,,
Too Handsome to Handle,,2019,"Wary of the effects of his good looks on others, a shut-in agrees to attend high school for the first time and meets a girl who's immune to his charm.",Recommended for ages 13 and up,movie,2020/12/31,1h46m1s,Romantic Dramas,Teen Movies,Romantic Comedies,Dramas,Comedies,Romantic Movies,Indonesian Movies,,,,,,,,,,,,,,,
SanPa: Sins of the Savior,,2020,"Amidst a heroin crisis, Vincenzo Muccioli cared for the addicted, earning him fierce public devotion a” even as charges of violence began to mount.",Recommended for ages 16 and up,series,2020/12/31,,Historical Documentaries,Crime Documentaries,Docuseries,Italian TV Shows,,,,,,,,,,,,,,,,,,
Equinox,tt0067055,2020,"Haunted by visions after her sister vanished with her classmates 21 years before, Astrid begins an investigation that uncovers the dark, eerie truth.",Recommended for ages 16 and up,series,2020/12/31,,TV Mysteries,Scandinavian TV Shows,Danish TV Shows,TV Thrillers,,,,,,,,,,,,,,,,,,
Best Leftovers Ever!,tt13563634,2020,Decadent pasta from day-old fries? Skillful cooks transform tired leftovers into tantalizing new dishes in this wildly creative culinary competition.,Recommended for ages 7 and up,series,2020/12/31,,Reality TV,Competition Reality TV,US TV Shows,Food & Travel TV,Family Watch Together TV,,,,,,,,,,,,,,,,,
The Rope Curse 2,tt13212006,2020,"After a purification ritual unravels, a conflicted Taoist priest attempts to help a lonely young psychic whose aunt is possessed by a powerful demon.",Recommended for ages 16 and up,movie,2020/12/30,1h44m46s,Chinese Movies,Horror Movies,Supernatural Horror Movies,Teen Screams,Taiwanese Movies,,,,,,,,,,,,,,,,,
Gameboys Level-Up Edition,,2020,"In this recut of the popular web series, live-stream gamer Cairo calls for a rematch after losing to newcomer Gavreel a” and an online romance blooms.",Recommended for ages 13 and up,series,2020/12/30,,,,,,,,,,,,,,,,,,,,,,,
A Love So Beautiful,tt8434720,2020,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",Recommended for ages 7 and up,series,2020/12/29,,TV Comedies,Romantic TV Comedies,Teen TV Shows,Korean TV Shows,TV Shows Based on Books,,,,,,,,,,,,,,,,,
All My Friends Are Dead,tt4778976,2020,"A group of friends at a New Year’s Eve party go through a whirlwind of events that exposes secrets, breaks hearts — and leads to a shocking outcome.",Recommended for ages 16 and up,movie,2020/12/29,1h36m4s,Dark Comedies,Teen Movies,Dramas,Polish Comedies,Polish Movies,Comedies,Polish Dramas,,,,,,,,,,,,,,,
Cops and Robbers,tt0043606,2020,Animation and activism unite in this multimedia spoken-word response to police brutality and racial injustice.,"thematic content, violent images and some strong language",movie,2020/12/28,7m52s,Social Issue Dramas,Dramas,,,,,,,,,,,,,,,,,,,,
Death to 2020,tt13567480,2020,"As the year we all want to end finally does, take a look back at 2020's mad glory in this comedic retrospective from the creators of ""Black Mirror.""",Recommended for ages 13 and up,movie,2020/12/27,1h10m52s,Political Comedies,Comedies,,,,,,,,,,,,,,,,,,,,
Monster Run,tt10097484,2020,"Jimo, an outcast who can see monsters, teams up with a monster hunter to fight evil forces and soon discovers her greater calling.",Suitable for ages 12 and up,movie,2020/12/27,1h44m7s,,,,,,,,,,,,,,,,,,,,,,
Inheritance,tt7923220,2020,"After the patriarch of a powerful family passes away, he entrusts his daughter with a secret that no longer wants to remain buried.",For Mature Audiences. May not be suitable for ages 17 and under.,movie,2020/12/27,1h51m25s,,,,,,,,,,,,,,,,,,,,,,
DNA,tt0118912,2020,"Grieving the death of her grandfather, Neige navigates family conflict and questions her world in this meditation about cultural identity and roots.",For Mature Audiences. May not be suitable for ages 17 and under.,movie,2020/12/27,1h31m10s,Dramas,French,,,,,,,,,,,,,,,,,,,,
Sakho & Mangane,,2019,A by-the-book police captain and a brash young detective must team up to take on the supernatural when strange forces begin to wreak havoc on Dakar.,Recommended for ages 16 and up,series,2020/12/27,,TV Dramas,Crime TV Dramas,TV Thrillers,,,,,,,,,,,,,,,,,,,
The Magic School Bus Rides Again In the Zone,tt13577224,2020,"Ms. Frizzle's class sees every show on a pop star's New Year's Eve tour, learning about time zones as they attend all her concerts on the same night.",Recommended for all audiences,movie,2020/12/26,46m15s,Children & Family Movies,Movies Based on Books,Education for Kids,TV Cartoons,Kids' TV,Kids Music,Family Adventures,Canadian Movies,Canadian TV Shows,Animated Movies,TV Shows Based on Books,,,,,,,,,,,
Asphalt Burning,tt6527456,2020,"When the brakes slam on his wedding, Roy accepts a challenge from a new foe to race for his runaway bride at the iconic Nürburgring track in Germany.",Recommended for ages 7 and up,movie,2020/12/26,1h40m56s,Action & Adventure,Comedies,Action Comedies,Norwegian Movies,,,,,,,,,,,,,,,,,,
Bridgerton,tt8740790,2020,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.,Recommended for ages 16 and up,series,2020/12/26,,TV Dramas,Period Pieces,Romantic TV Dramas,US TV Shows,TV Shows Based on Books,,,,,,,,,,,,,,,,,
We Can Be Heroes,tt0425674,2020,"When alien invaders capture Earth’s superheroes, their kids must learn to work together to save their parents — and the planet.",Recommended for ages 7 and up,movie,2020/12/26,1h40m41s,Children & Family Movies,Comedies,Action Comedies,Family Features,Family Comedies,,,,,,,,,,,,,,,,,
Isa Pa with Feelings,tt10555482,2019,"When an aspiring architect falls for her Deaf neighbor, they develop a connection and set out to form their own love language despite their differences.",Recommended for ages 7 and up,movie,2020/12/25,1h42m10s,Romantic Movies,Filipino Movies,,,,,,,,,,,,,,,,,,,,
AK vs AK,tt11651796,2020,"After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time.",Recommended for ages 16 and up,movie,2020/12/25,1h48m13s,Dark Comedies,Crime Comedies,Dramas,Comedies,Thriller Movies,Indian Movies,Hindi-Language Movies,,,,,,,,,,,,,,,
Rhys Nicholson Live at the Athenaeum,tt13583120,2020,"Rhys Nicholson flexes his biting humor as he discusses horse tranquilizers, angry letters from viewers, and more in this stand-up special.",Recommended for ages 16 and up,movie,2020/12/24,1h5m50s,Dark Comedies,Comedies,Stand-Up Comedy,,,,,,,,,,,,,,,,,,,
London Hughes: To Catch a D*ck,,2020,Bawdy comedian and television presenter London Hughes revisits her past in this acclaimed breakout special filled with unfiltered tales and wild stories.,Recommended for ages 16 and up,movie,2020/12/24,1h8m4s,Comedies,Stand-Up Comedy,,,,,,,,,,,,,,,,,,,,
The Midnight Sky,tt10539608,2020,"In the aftermath of a global catastrophe, a lone scientist in the Arctic races to contact a crew of astronauts with a warning not to return to Earth.",Recommended for ages 13 and up,movie,2020/12/24,1h58m32s,,,,,,,,,,,,,,,,,,,,,,
Your Name Engraved Herein,tt10329134,2020,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",Recommended for ages 16 and up,movie,2020/12/24,1h54m35s,Romantic Dramas,Chinese Movies,Dramas,LGBTQ Movies,Romantic Movies,Taiwanese Movies,,,,,,,,,,,,,,,,
"Hello, Love, Goodbye",tt10156112,2019,"In Hong Kong, the lives of two overseas Filipino workers intertwine as they navigate daily duties, career aspirations and romantic possibilities.",Recommended for ages 13 and up,movie,2020/12/24,1h57m24s,Romantic Dramas,Social Issue Dramas,Dramas,Romantic Movies,Filipino Movies,,,,,,,,,,,,,,,,,
Cemara's Family,tt7885874,2018,"After bankruptcy, Abah and Emak must adapt to a new life with their children in a remote village.",Recommended for ages 7 and up,movie,2020/12/24,1h50m16s,Children & Family Movies,Dramas,Movies Based on Books,Family Features,Indonesian Movies,,,,,,,,,,,,,,,,,
Bridezilla,tt10589924,2019,"After failing to deliver for a demanding bride, a wedding planner makes a bold business move and throws the wedding of the year — for herself.",Recommended for ages 13 and up,movie,2020/12/24,1h33m56s,Dramas,Comedies,Indonesian Movies,,,,,,,,,,,,,,,,,,,
Vivarium,tt8368406,2019,"While exploring a new housing development, a young couple finds themselves trapped in a labyrinth of identical houses.",Recommended for ages 13 and up,movie,2020/12/23,1h33m49s,Sci-Fi & Fantasy,Horror Movies,Thriller Movies,Mysteries,Sci-Fi Thrillers,Futuristic Sci-Fi,,,,,,,,,,,,,,,,
Rhyme Time Town Singalongs,tt13530018,2020,"Love snackable, snap-worthy songs? Sing along with the Rhyme Time Town friends as they use their imaginations and flex their problem-solving skills!",Suitable for General Audiences,series,2020/12/22,,Animation,Animal Tales,TV Cartoons,Kids' TV,Kids Music,,,,,,,,,,,,,,,,,
Lovestruck in the City,tt13394544,2020,"Heart stolen by a free-spirited woman after a beachside romance, a passionate architect sets out to reunite with her on the streets of Seoul.",Parental Guidance suggested under age 12,series,2020/12/22,,TV Comedies,TV Dramas,Romantic TV Comedies,Romantic TV Dramas,Korean TV Shows,,,,,,,,,,,,,,,,,
"ariana grande: excuse me, i love you",tt13615386,2020,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,Not recommended for ages 14 and under,movie,2020/12/22,1h37m53s,,,,,,,,,,,,,,,,,,,,,,
Korean Pork Belly Rhapsody,,2020,A love letter to pork belly — a perennial favorite among Koreans of every generation — unfolds with an exploration of its history and cooking methods.,Suitable for all ages,series,2020/12/21,,Docuseries,Food & Travel TV,Lifestyle,,,,,,,,,,,,,,,,,,,
Ma Rainey's Black Bottom: A Legacy Brought to Screen,,2020,"Viola Davis, Denzel Washington, George C. Wolfe and more share the heart, soul and history that brought August Wilsona?s timeless play to the screen.",Recommended for ages 7 and up,movie,2020/12/18,31m31s,Social & Cultural Documentaries,Music & Musicals,Documentaries,,,,,,,,,,,,,,,,,,,
Ma Rainey's Black Bottom,,2020,"Tensions and temperatures rise at a Chicago music studio in 1927 when fiery, fearless blues singer Ma Rainey joins her band for a recording session.",Recommended for ages 16 and up,movie,2020/12/18,1h34m6s,Dramas,Music & Musicals,,,,,,,,,,,,,,,,,,,,
Sweet Home,tt3477752,2020,"As humans turn into savage monsters and wreak terror, one troubled teen and his apartment neighbors fight to survive a” and to hold on to their humanity.",For Mature Audiences. May not be suitable for ages 17 and under.,series,2020/12/18,,,,,,,,,,,,,,,,,,,,,,,
Paava Kadhaigal,tt13206988,2020,"At times dark, at times disturbing, four short films explore stories of those who dare to dream and desire — and those determined to stand in their way.",For Mature Audiences. May not be suitable for ages 17 and under.,series,2020/12/18,,Drama Programmes,Indian Programmes,Social Issue TV Dramas,,,,,,,,,,,,,,,,,,,
Guest House,tt10054316,2020,The only downside to a young couple’s new dream home — and fresh start — is the nightmare of the raucous houseguest in back who refuses to leave.,"Strong crude sexual content, drug use, graphic nudity and language throughout",movie,2020/12/18,1h24m20s,Late Night Comedies,Comedies,,,,,,,,,,,,,,,,,,,,
Schulz Saves America,tt13607518,2020,Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.,For Mature Audiences. May not be suitable for ages 17 and under.,series,2020/12/17,,Comedy Programmes,Stand-up Comedy,,,,,,,,,,,,,,,,,,,,
An Unremarkable Christmas,tt13607632,2020,An accountant and aspiring magician invites his boss to spend Christmas with his family a” unaware that he's one of Colombia's most-wanted criminals.,Parents strongly cautioned. May not be suitable for ages 14 and under.,movie,2020/12/17,1h22m55s,Teen Films,Dramas,Comedies,Colombian Movies,,,,,,,,,,,,,,,,,,
Run On,tt1730342,2020,"Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life.",Recommended for ages 13 and up,series,2020/12/17,,TV Dramas,Romantic TV Dramas,Korean TV Shows,,,,,,,,,,,,,,,,,,,
Love You to the Stars and Back,tt7127344,2017,"In search of aliens, a young woman's road trip becomes an emotional journey when she finds — and falls for — a charming companion with cancer.",Recommended for ages 13 and up,movie,2020/12/17,1h50m31s,Teen Movies,Romantic Comedies,Comedies,Romantic Movies,Filipino Movies,,,,,,,,,,,,,,,,,
Sakaling Maging Tayo,tt9389622,2019,"A college student seizes his chance with a crush when an unexpected encounter turns into a night of bold dares, deep confessions and possible romance.",Recommended for ages 13 and up,movie,2020/12/17,1h30m9s,Romantic Movies,Filipino Movies,,,,,,,,,,,,,,,,,,,,
The Wedding Shaman,,2019,"After a betrayal at work, a finance professional becomes an assistant to a bride shaman in order to salvage her only remaining property — and love life.",Recommended for ages 7 and up,movie,2020/12/17,1h51m6s,Romantic Dramas,Dramas,Romantic Movies,Indonesian Movies,,,,,,,,,,,,,,,,,,
Eggnoid: Love & Time Portal,tt10640262,2019,"Sent from the future to look after a lonely girl, Eggy finds himself falling for her. But dating is forbidden and would risk both their fates.",Recommended for ages 13 and up,movie,2020/12/17,1h42m23s,Romantic Dramas,Sci-Fi & Fantasy,Sci-Fi Dramas,Dramas,Romantic Movies,Indonesian Movies,,,,,,,,,,,,,,,,
Vir Das: Outside In - The Lockdown Special,,2020,Stage banter takes on a different — deeper — meaning as the comedian performs online shows to homebound viewers worldwide from his Mumbai residence.,Recommended for ages 16 and up,movie,2020/12/16,50m14s,Comedies,Stand-up Comedy,,,,,,,,,,,,,,,,,,,,
The Ripper,tt0120023,2020,"In the late 1970s, British police struggle to identify — let alone capture — the serial killer known throughout the world as the Yorkshire Ripper.",For Mature Audiences. May not be suitable for ages 17 and under.,series,2020/12/16,,,,,,,,,,,,,,,,,,,,,,,
How To Ruin Christmas,tt13492362,2020,Prodigal daughter Tumi tries to make things right after completely ruining what should have been her sister's picture-perfect Christmas wedding.,For Mature Audiences. May not be suitable for ages 17 and under.,series,2020/12/16,,Comedy Programmes,Drama Programmes,South African TV Shows,,,,,,,,,,,,,,,,,,,
BREAK IT ALL: The History of Rock in Latin America,,2020,"Soda Stereo, Café Tacvba, Aterciopelados and others figure in this 50-year history of Latin American rock through dictatorships, disasters and dissent.",For Mature Audiences. May not be suitable for ages 17 and under.,series,2020/12/16,,Music,Biographical Documentaries,Social & Cultural Documentaries,Historical Documentaries,Political Documentaries,Docuseries,Latin Music,Political TV Programmes,Music & Concert Documentaries,,,,,,,,,,,,,
Grizzlies,tt6365796,2018,A group of disaffected students form an unlikely bond through the game of lacrosse when a new teacher introduces the sport to their remote Arctic town.,"language, and some drug/alcohol use involving teens",movie,2020/12/16,1h46m29s,,,,,,,,,,,,,,,,,,,,,,
Anitta: Made In Hon?3rio,,2020,"In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits.",Coarse Language,series,2020/12/16,,Biographical Documentaries,Docuseries,Music & Musicals,Brazilian TV Shows,Music & Concert Documentaries,,,,,,,,,,,,,,,,,
Tiny Pretty Things,tt10767748,2020,"When an attack brings down the star student at an elite ballet school, her replacement enters a world of lies, betrayal a” and cutthroat competition.",Recommended for ages 16 and up,series,2020/12/15,,TV Mysteries,Teen TV Shows,US TV Shows,TV Thrillers,TV Shows Based on Books,,,,,,,,,,,,,,,,,
A California Christmas,tt13055780,2020,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her familya?s land before Christmas.",Recommended for ages 13 and up,movie,2020/12/15,1h47m,Romantic Comedies,Comedies,Romantic Movies,,,,,,,,,,,,,,,,,,,
The Netflix Afterparty: The Best Shows of The Worst Year,,2020,"David Spade, Fortune Feimster and London Hughes welcome guests from ""Tiger King,"" ""Emily in Paris,"" ""The Queen's Gambit"" and more. Plus: Kevin Hart.",For Mature Audiences. May not be suitable for ages 17 and under.,movie,2020/12/14,59m4s,Comedies,Variety TV,,,,,,,,,,,,,,,,,,,,
Bogdan Boner: Egzorcysta,,2020,"No demon is safe as Bogdan Boner, the alcohol-loving, self-taught exorcist-for-hire, returns with more inventive, obscene and deadly deeds.",Recommended for ages 16 and up,series,2020/12/12,,TV Comedies,Polish TV Shows,,,,,,,,,,,,,,,,,,,,
The Mess You Leave Behind,,2020,A teacher starts her job at a high school but is haunted by a suspicious death that occurred there weeks before... and begins fearing for her own life.,Not suitable for ages 13 and under,series,2020/12/11,,TV Mysteries,TV Dramas,Teen TV Shows,TV Thrillers,TV Shows Based on Books,Spanish,,,,,,,,,,,,,,,,
The Prom,tt0083612,2020,A group of down-on-their-luck Broadway stars shake up a small Indiana town as they rally behind a teen who just wants to attend prom with her girlfriend.,Suitable for all ages,movie,2020/12/11,2h12m18s,Teen Movies,LGBTQ Movies,Comedies,Musicals,Music & Musicals,,,,,,,,,,,,,,,,,
Torbaaz,tt7805960,2020,"At an Afghanistan refugee camp, an ex-army doctor seeks to bring children joy through cricket — and soon realizes that the stakes go beyond the sport.",Not suitable for ages 13 and under,movie,2020/12/11,2h13m,Bollywood Movies,Psychological Thrillers,Dramas,Thriller Movies,Indian Movies,Hindi-Language Movies,,,,,,,,,,,,,,,,
Giving Voice,tt11394338,2020,"Six ambitious student actors audition for the prestigious August Wilson Monologue Competition, culminating in a riveting final round on Broadway.",Suitable for all ages,movie,2020/12/11,1h30m45s,,,,,,,,,,,,,,,,,,,,,,
Canvas,tt0780492,2020,"After a heartbreaking loss, a grandfather struggling to reclaim his passion for painting finds the inspiration to create again.",Suitable for all ages,movie,2020/12/11,9m3s,Children & Family Movies,Dramas,Family Dramas,Family Features,,,,,,,,,,,,,,,,,,
A Trash Truck Christmas,tt13458584,2020,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",Suitable for all ages,movie,2020/12/11,28m16s,,,,,,,,,,,,,,,,,,,,,,
Alice in Borderland,,2020,"An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive.",Suitable for ages 16 and up,series,2020/12/10,,TV Action & Adventure,Japanese TV Shows,TV Thrillers,TV Shows Based on Manga,Sci-Fi TV,,,,,,,,,,,,,,,,,
Funny Boy,tt0093062,2020,"A student must navigate issues of sexuality, identity and family amid Sri Lanka's social turmoil of the 1970s and 1980s.",Suitable for ages 15 and up,movie,2020/12/10,1h49m24s,LGBTQ Dramas,Social Issue Dramas,Dramas,LGBTQ Films,Films Based on Books,Canadian Films,,,,,,,,,,,,,,,,
Children of Adam,,2020,"Amid crime and corruption, the lives of two couples intertwine as unexpected events soon reveal their dark secrets and tainted pasts.",Not recommended for ages 15 and under,movie,2020/12/10,,TV Dramas,TV Thrillers,Middle Eastern TV Shows,Social Issue TV Dramas,,,,,,,,,,,,,,,,,,
Futmalls.com,,2020,Strange occurrences afflict a group of people after they purchase items on a shopping website from the future.,Recommended for ages 13 and up,series,2020/12/10,,TV Mysteries,TV Dramas,Crime TV Dramas,Chinese TV Shows,TV Thrillers,Taiwanese TV Shows,Futuristic Sci-Fi,Sci-Fi TV,,,,,,,,,,,,,,
The Panti Sisters,tt10637682,2019,Three gay siblings are told by their terminally ill father that they must each produce a grandchild in order to inherit their share of his fortune.,Recommended for ages 13 and up,movie,2020/12/10,1h47m38s,LGBTQ Movies,Comedies,Slapstick Comedies,Filipino Movies,,,,,,,,,,,,,,,,,,
Just The Way You Are,tt4380580,2016,An overconfident teen bets he can make a homely transfer student fall in love with him in 30 days — but the wager starts to play games with his heart.,Recommended for ages 7 and up,movie,2020/12/10,1h47m18s,,,,,,,,,,,,,,,,,,,,,,
